id,edad,genero,pais,tipo_habitacion,precio_por_noche,tipo_tarjeta,noches,todo_incluido,mantenimiento_por_noche
1,35,mujer,EEUU,triple,90€,otra,4,no,10€
2,81,mujer,Italia,doble,,Amex,4,no,10€
3,28,mujer,España,cuadruple,150€,Visa,2,no,5€
4,88,hombre,México,individual,,Visa,10,no,5€
5,74,hombre,España,doble,150€,Amex,8,no,10€
6,74,mujer,Francia,doble,150€,otra,3,si,
7,45,hombre,Argentina,cuadruple,70€,Amex,5,no,15€
8,63,hombre,Chile,doble,90€,otra,10,si,20€
9,40,hombre,España,individual,50€,otra,4,no,15€
10,54,mujer,EEUU,triple,70€,Visa,4,si,5€
11,82,hombre,España,cuadruple,70€,otra,10,no,10€
12,77,mujer,Chile,triple,120€,Visa,7,no,10€
13,51,hombre,Argentina,cuadruple,150€,otra,8,no,15€
14,37,hombre,Colombia,triple,90€,otra,6,no,20€
15,42,mujer,Argentina,cuadruple,200€,MasterCard,2,no,10€
16,51,mujer,Alemania,doble,,Amex,4,no,10€
17,38,hombre,México,cuadruple,90€,Visa,7,si,20€
18,30,mujer,Colombia,triple,150€,otra,2,si,20€
19,89,mujer,Chile,individual,90€,MasterCard,9,no,20€
20,66,mujer,EEUU,doble,120€,MasterCard,6,si,5€
21,73,mujer,EEUU,cuadruple,150€,Amex,10,no,10€
22,67,hombre,México,triple,120€,MasterCard,5,si,
23,41,hombre,Alemania,cuadruple,120€,Amex,8,si,
24,74,mujer,Alemania,cuadruple,200€,MasterCard,3,si,5€
25,30,hombre,México,cuadruple,,otra,7,si,5€
26,59,hombre,Francia,doble,50€,Amex,5,no,15€
27,24,mujer,Colombia,triple,90€,Visa,9,si,10€
28,18,hombre,España,cuadruple,150€,otra,4,si,5€
29,39,hombre,Argentina,doble,150€,Visa,7,no,10€
30,80,mujer,Francia,triple,50€,MasterCard,6,si,15€
31,37,hombre,Alemania,cuadruple,90€,Visa,6,si,10€
32,80,mujer,Alemania,individual,,MasterCard,4,si,5€
33,55,hombre,Alemania,doble,120€,Amex,2,no,
34,32,hombre,Italia,individual,120€,MasterCard,9,no,5€
35,89,hombre,EEUU,doble,120€,otra,6,si,20€
36,73,mujer,Chile,individual,50€,Amex,6,no,20€
37,69,hombre,EEUU,triple,150€,MasterCard,3,si,20€
38,44,hombre,Chile,triple,,MasterCard,3,no,
39,22,mujer,Chile,doble,,Visa,1,si,20€
40,59,mujer,EEUU,cuadruple,,Visa,7,si,15€
41,88,mujer,EEUU,individual,50€,otra,8,no,20€
42,84,hombre,Argentina,triple,200€,otra,9,si,15€
43,82,hombre,Argentina,triple,120€,Amex,1,si,10€
44,74,mujer,Argentina,triple,150€,Amex,10,no,
45,47,mujer,Alemania,triple,50€,MasterCard,3,no,15€
46,35,hombre,España,individual,50€,Visa,1,si,10€
47,78,hombre,Argentina,doble,50€,otra,10,no,10€
48,25,hombre,México,doble,,MasterCard,1,si,15€
49,55,mujer,EEUU,triple,150€,otra,5,si,
50,69,hombre,Colombia,individual,50€,MasterCard,2,si,15€
51,88,mujer,Colombia,individual,200€,Visa,9,no,10€
52,36,mujer,EEUU,individual,,Visa,7,si,15€
53,37,mujer,Italia,doble,200€,Visa,7,si,10€
54,73,hombre,Francia,individual,70€,Amex,7,no,15€
55,50,hombre,México,doble,90€,Visa,4,no,5€
56,68,mujer,México,cuadruple,90€,MasterCard,10,no,5€
57,28,hombre,Chile,doble,150€,otra,9,si,
58,67,mujer,España,triple,120€,Amex,5,si,10€
59,42,mujer,Francia,individual,,Amex,6,si,20€
60,58,hombre,EEUU,individual,150€,Amex,8,si,
61,28,mujer,EEUU,individual,90€,Amex,2,si,20€
62,47,mujer,Chile,individual,,otra,6,si,5€
63,74,hombre,México,doble,50€,MasterCard,10,si,5€
64,66,mujer,México,triple,70€,Visa,2,si,20€
65,77,mujer,Argentina,doble,120€,MasterCard,4,no,20€
66,63,hombre,Chile,triple,,otra,3,no,20€
67,87,hombre,Francia,individual,120€,Amex,6,no,10€
68,48,hombre,EEUU,doble,90€,MasterCard,7,si,20€
69,49,hombre,Argentina,individual,70€,MasterCard,6,no,20€
70,71,hombre,Italia,cuadruple,150€,Visa,5,si,
71,71,mujer,Alemania,doble,,otra,1,no,
72,49,hombre,Alemania,cuadruple,200€,MasterCard,6,no,10€
73,71,mujer,México,individual,90€,Amex,7,no,20€
74,90,hombre,Argentina,individual,200€,Visa,7,no,15€
75,42,hombre,España,individual,200€,Visa,6,si,15€
76,84,mujer,Colombia,individual,150€,Amex,8,si,
77,21,mujer,Italia,individual,90€,MasterCard,3,no,10€
78,45,mujer,México,cuadruple,200€,otra,4,no,15€
79,29,hombre,España,individual,120€,MasterCard,5,si,
80,31,mujer,Colombia,individual,150€,MasterCard,2,si,
81,58,hombre,Alemania,individual,50€,otra,8,si,10€
82,30,mujer,Argentina,doble,,MasterCard,8,si,20€
83,74,mujer,Francia,cuadruple,150€,otra,7,no,
84,81,hombre,Alemania,triple,50€,Visa,5,si,
85,72,mujer,Italia,cuadruple,90€,otra,8,no,
86,34,mujer,Alemania,individual,120€,Visa,9,si,5€
87,23,mujer,Colombia,doble,70€,MasterCard,1,no,10€
88,24,mujer,Alemania,triple,70€,MasterCard,2,no,10€
89,87,hombre,Francia,cuadruple,90€,MasterCard,1,si,10€
90,46,hombre,Argentina,individual,90€,MasterCard,8,no,
91,44,mujer,Francia,doble,90€,Amex,3,si,15€
92,27,hombre,Francia,doble,200€,Amex,3,si,20€
93,89,hombre,EEUU,individual,70€,otra,10,si,15€
94,63,mujer,Argentina,triple,200€,MasterCard,6,si,5€
95,65,mujer,Francia,cuadruple,,Visa,4,si,
96,75,hombre,Chile,doble,200€,Visa,9,si,20€
97,31,hombre,Argentina,triple,150€,Amex,1,no,10€
98,84,mujer,Francia,triple,,MasterCard,3,si,10€
99,87,mujer,EEUU,triple,50€,Amex,2,si,10€
100,58,hombre,México,individual,50€,otra,10,si,20€
101,46,hombre,Francia,doble,200€,otra,5,si,
102,68,mujer,Colombia,doble,120€,Visa,1,si,5€
103,35,mujer,Colombia,doble,90€,Amex,8,no,20€
104,57,mujer,Colombia,individual,200€,MasterCard,7,no,10€
105,75,hombre,España,triple,90€,Amex,7,no,10€
106,83,mujer,Chile,individual,200€,otra,3,no,10€
107,41,hombre,Argentina,cuadruple,50€,Visa,10,no,5€
108,37,hombre,EEUU,individual,70€,Amex,5,si,20€
109,20,hombre,Argentina,individual,90€,MasterCard,7,si,10€
110,44,mujer,Italia,cuadruple,200€,Visa,8,si,20€
111,24,mujer,Italia,cuadruple,,Amex,5,si,
112,53,mujer,España,individual,90€,Amex,3,no,
113,29,mujer,Colombia,doble,70€,Amex,10,no,20€
114,34,hombre,Alemania,individual,70€,Amex,8,si,10€
115,35,hombre,México,doble,70€,Amex,4,no,5€
116,29,hombre,España,individual,,otra,6,si,
117,38,hombre,Alemania,doble,200€,MasterCard,4,si,15€
118,33,mujer,Francia,doble,70€,otra,9,no,5€
119,65,mujer,México,triple,70€,Amex,9,si,20€
120,85,mujer,Chile,individual,,MasterCard,4,si,10€
121,57,hombre,Francia,cuadruple,90€,otra,7,no,5€
122,50,hombre,Argentina,doble,50€,Visa,9,no,5€
123,25,hombre,Alemania,cuadruple,70€,otra,9,si,10€
124,45,hombre,Francia,individual,50€,MasterCard,9,no,
125,40,mujer,Argentina,individual,120€,Amex,2,si,15€
126,90,hombre,España,individual,120€,otra,2,si,15€
127,23,mujer,Alemania,individual,90€,MasterCard,1,no,10€
128,27,mujer,Colombia,doble,70€,Amex,10,no,5€
129,87,mujer,Italia,triple,,Amex,7,si,5€
130,51,hombre,Colombia,cuadruple,90€,MasterCard,10,si,5€
131,31,hombre,Colombia,individual,50€,Amex,9,no,5€
132,23,hombre,Argentina,triple,,Amex,4,si,5€
133,76,hombre,EEUU,doble,120€,MasterCard,2,si,
134,87,mujer,Chile,triple,150€,Visa,9,no,15€
135,83,mujer,EEUU,doble,120€,Amex,4,si,5€
136,77,hombre,Alemania,cuadruple,70€,otra,3,si,15€
137,74,mujer,EEUU,triple,200€,Visa,5,no,
138,46,mujer,Chile,triple,120€,MasterCard,8,si,20€
139,47,mujer,Colombia,doble,90€,MasterCard,5,si,10€
140,73,hombre,EEUU,triple,200€,MasterCard,6,si,
141,22,mujer,Italia,triple,120€,Visa,7,si,15€
142,57,hombre,Francia,triple,200€,otra,7,si,20€
143,89,hombre,Francia,doble,50€,otra,6,si,
144,87,mujer,Italia,individual,,Visa,5,no,10€
145,58,mujer,México,triple,120€,Visa,5,si,15€
146,28,hombre,Francia,individual,200€,Amex,4,no,5€
147,35,mujer,Francia,cuadruple,90€,Visa,5,no,
148,31,mujer,Francia,cuadruple,150€,Visa,1,si,5€
149,50,mujer,México,cuadruple,,MasterCard,6,si,10€
150,84,mujer,Chile,individual,90€,MasterCard,9,si,5€
151,34,hombre,México,triple,150€,MasterCard,1,no,10€
152,54,mujer,Italia,individual,150€,MasterCard,7,si,20€
153,49,hombre,EEUU,cuadruple,120€,Amex,2,no,20€
154,74,mujer,Alemania,doble,200€,Visa,7,no,15€
155,55,hombre,Colombia,cuadruple,120€,otra,6,si,15€
156,89,mujer,México,doble,90€,otra,3,si,
157,80,mujer,Argentina,cuadruple,70€,Amex,10,si,10€
158,19,mujer,México,cuadruple,150€,Amex,2,si,5€
159,54,hombre,México,individual,,Visa,9,no,10€
160,69,mujer,Chile,triple,200€,Amex,7,no,5€
161,86,mujer,México,individual,70€,Amex,6,no,
162,76,mujer,Italia,individual,90€,MasterCard,4,si,20€
163,56,mujer,Italia,cuadruple,,Amex,8,no,10€
164,30,hombre,España,doble,50€,Amex,4,si,15€
165,18,mujer,Argentina,cuadruple,70€,MasterCard,1,si,15€
166,23,mujer,Francia,triple,150€,Amex,8,no,5€
167,71,mujer,España,cuadruple,90€,Visa,6,no,5€
168,72,mujer,Francia,doble,150€,Amex,4,no,
169,78,hombre,EEUU,cuadruple,70€,Visa,7,si,15€
170,38,mujer,Colombia,triple,,Visa,3,no,10€
171,90,mujer,EEUU,triple,70€,Visa,10,no,5€
172,18,mujer,México,doble,90€,Amex,5,no,20€
173,47,hombre,Francia,doble,200€,MasterCard,1,no,20€
174,75,mujer,EEUU,triple,200€,Visa,9,si,15€
175,75,mujer,Argentina,individual,,Visa,9,no,5€
176,63,hombre,Francia,doble,200€,otra,1,no,20€
177,28,hombre,España,triple,70€,Visa,6,si,5€
178,40,mujer,EEUU,doble,90€,Visa,3,si,
179,79,mujer,Argentina,individual,70€,Visa,7,si,5€
180,60,mujer,Argentina,individual,200€,Visa,6,no,20€
181,24,hombre,Chile,individual,,otra,2,no,15€
182,29,mujer,EEUU,doble,,MasterCard,4,si,20€
183,80,mujer,Alemania,doble,70€,MasterCard,7,no,
184,76,hombre,Chile,individual,90€,Amex,8,no,10€
185,76,hombre,Colombia,cuadruple,200€,MasterCard,5,no,10€
186,51,hombre,Italia,triple,200€,MasterCard,2,no,20€
187,61,hombre,EEUU,individual,70€,Visa,9,si,10€
